,code,name,ss,trade
504,692,CHINA HOUSEHOLD  HKD   ,18506929,8552712
505,694,BEIJING AIRPORT  HKD   ,8755872,47231103
506,695,DONGWU CEMENT    HKD   ,300000,387780
507,696,TRAVELSKY TECH   HKD   ,570000,2899400
508,697,SHOUGANG INT'L   HKD   ,7718000,3375490
509,698,TONGDA GROUP     HKD   ,13281769,7049712
510,700,TENCENT          HKD ,5703024,1435791890
511,701,CNT GROUP        HKD   ,52000,17420
512,702,SINO OIL &amp; GAS   HKD   ,30410000,4556360
513,703,FUTURE BRIGHT    HKD   ,2244000,5913840
514,704,HUSCOKE RES      HKD   ,461419,54788
515,705,CVM MINERALS     HKD   ,3640000,222440
516,706,FINTRONICS       HKD   ,400000,64000
517,707,CO-PROSPERITY    HKD   ,2000,296
518,708,NEW MEDIA        HKD   ,260000,70800
519,709,GIORDANO INT'L   HKD   ,1965000,15332324
520,710,VARITRONIX INTL  HKD   ,1043031,4823181
521,711,CHUN WO DEV      HKD   ,440000,250800
522,712,COMTEC SOLAR     HKD   ,21178000,27628590
523,713,WORLD HOUSEWARE  HKD   ,502000,155590
524,715,HUTCH HARB RING  HKD   ,1824000,1169520
525,716,SINGAMAS CONT    HKD   ,3948000,8057164
526,717,EMPEROR CAPITAL  HKD   ,1410000,513510
527,718,BESTWAY INT'L    HKD   ,370000,15270
528,719,SHANDONG XINHUA  HKD   ,54000,125200
529,721,C FIN INT INV    HKD   ,3890000,1510250
530,723,SUSTAIN FOREST   HKD   ,15517500,805447
531,724,SINO-TECH INT'L  HKD   ,1430000,53080
532,726,SOUTH EAST GP    HKD   ,90000,28910
533,728,CHINA TELECOM    HKD   ,38953127,155324218
534,729,SINOPOLYBATTERY  HKD   ,5700000,1670500
535,730,SHOUGANG GRAND   HKD   ,16000,6160
536,731,SAMSON PAPER     HKD   ,324000,124740
537,732,TRULY INT'L      HKD   ,20352000,80059550
538,733,HOPEFLUENT       HKD   ,2342129,5548172
539,735,C P NEW ENERGY   HKD   ,7840000,3689100
540,736,CHINA PPT INV    HKD   ,1738333,185164
541,737,HOPEWELL INFR    HKD   ,1149700,4489173
542,738,LE SAUNDA HOLD   HKD   ,120000,292940
543,743,ASIA CEMENT CH   HKD   ,545000,2106900
544,745,CH RAILSMEDIA    HKD   ,3436000,1253150
545,746,L &amp; M CHEMICAL   HKD   ,420000,1904480
546,747,SHENYANG PUBLIC  HKD   ,400000,190000
547,750,SINGYES SOLAR    HKD   ,16187800,104320270
548,751,SKYWORTHDIGITAL  HKD   ,4538450,23997486
549,752,PICO FAR EAST    HKD   ,568000,1556820
550,753,AIR CHINA        HKD   ,22788481,156856579
551,754,HOPSON DEV HOLD  HKD  ,2962000,34084520
552,755,SHANGHAI ZENDAI  HKD   ,1950000,292750
553,756,CHI TIANYI HOLD  HKD   ,872000,883320
554,757,SOLARGIGA        HKD   ,5491555,2269206
555,758,JUNEFIELD GROUP  HKD   ,338000,164230
556,759,CEC INT'L HOLD   HKD   ,4260001,4661561
557,760,TALENT PPT GP    HKD   ,840000,134880
558,762,CHINA UNICOM     HKD  ,17879508,190243424
559,763,ZTE              HKD  ,5332537,74789533
560,764,ETERNITY INV     HKD   ,7367237,9600981
561,765,PERFECTECH INTL  HKD   ,1454000,1489520
562,766,SINO PROSPER SG  HKD   ,375000,79655
563,767,PACIFIC PLYWOOD  HKD   ,1843325,179890
564,769,CHINA RAREEARTH  HKD   ,4982780,6964706
565,770,SHANGHAI GROWTH  USD   ,10000,13400
566,771,AUTOMATED SYS    HKD   ,270000,273180
567,775,CKLIFE SCIENCES  HKD   ,1416000,965280
568,777,NETDRAGON        HKD   ,1456000,13816195
569,778,FORTUNE REIT     HKD   ,2064000,14247170
570,789,ARTINI           HKD   ,160000,38900
571,794,COME SURE GROUP  HKD   ,214000,99140
572,800,A8 DIGITALMUSIC  HKD   ,35826759,15077073
573,801,GOLDEN MEDITECH  HKD   ,1868000,1790080
574,802,RCG              HKD   ,371000,162565
575,805,GLENCORE-S       HKD  ,18000,762185
576,806,VALUE PARTNERS   HKD   ,1908000,9614590
577,808,PROSPERITY REIT  HKD   ,2614999,6967587
578,809,GLOBAL BIO-CHEM  HKD   ,3108000,2225140
579,811,XINHUA WINSHARE  HKD   ,1485000,6514990
580,812,TANRICH          HKD   ,28000,8630
581,813,SHIMAO PROPERTY  HKD  ,19602500,277809514
582,814,JINGKELONG       HKD   ,212000,670910
583,815,CHI SILVER GP    HKD   ,1654000,2216340
584,816,HUADIAN FUXIN    HKD   ,63810000,122997700
585,817,FRANSHION PPT    HKD   ,5882583,14629030
586,818,HI SUN TECH      HKD   ,369000,340230
587,819,TIANNENG POWER   HKD   ,2010239,10894613
588,820,HSBCDRAGON FUND  HKD   ,103432,723920
589,821,VC HOLDINGS      HKD   ,3980000,3985480
590,822,KA SHUI INT'L    HKD   ,6352000,12037860
591,823,LINK REIT        HKD  ,3783176,159660614
592,825,NWDS CHINA       HKD   ,1198255,5339157
593,826,TIANGONG INT'L   HKD   ,33295000,73342880
594,827,KO YO GROUP      HKD   ,1620000,187460
595,829,SHENGUAN HLDGS   HKD   ,1370000,5438160
596,830,FAR EAST GLOBAL  HKD   ,4880000,11982300
597,831,CR ASIA          HKD   ,2000,10600
598,832,CENTRAL CHINA    HKD   ,708634,1830090
599,833,ALLTRONICS       HKD   ,1223000,1859560
600,834,KANGDA FOOD      HKD   ,100000,66200
601,835,ASIA COAL        HKD   ,660000,82010
602,836,CHINA RES POWER  HKD  ,5704900,135373782
603,837,CARPENTER TAN    HKD   ,310000,1555320
604,838,EVA HOLDINGS     HKD   ,4052000,4416600
605,839,TIANDA OIL PIPE  HKD   ,1204000,1698440
606,840,TIANYE WATER     HKD   ,282000,237200
607,841,CASSAVA RES      HKD   ,22000,14960
608,842,LEOCH INT'L      HKD   ,1391000,1427915
609,844,GRAND CONCORD    HKD   ,1568000,1276960
610,845,GLORIOUS PPT H   HKD   ,2844000,3488550
611,846,MINGFA GROUP     HKD   ,2426000,6224130
612,848,MAOYE INT'L      HKD   ,22127000,40072185
613,850,PETROASIAN       HKD   ,3036000,519760
614,852,STRONG PETRO     HKD   ,26000,21000
615,853,MICROPORT        HKD   ,12604800,66138804
616,855,CHINA WATER      HKD   ,1458000,3348010
617,856,VST HOLDINGS     HKD   ,1560000,3147460
618,857,PETROCHINA       HKD  ,64823025,667157963
619,858,EXTRAWELL PHAR   HKD   ,7540000,5240200
620,860,MING FUNG JEWEL  HKD   ,1810000,555050
621,861,DIGITAL CHINA    HKD  ,1725597,18040707
622,862,VISION VALUES    HKD   ,76000,13376
623,864,WING LEE PPT     HKD   ,1048000,959180
624,866,CHINA QINFA      HKD   ,966000,936540
625,867,CMS              HKD   ,3448000,26891945
626,868,XINYI GLASS      HKD   ,5160676,28563398
627,869,PLAYMATES TOYS   HKD   ,1782480,1296640
628,871,XIANGYU DREDG    HKD   ,2084000,3344530
629,872,JH AUTO SAFETY   HKD   ,200000,69710
630,873,C TAIFENG BED    HKD   ,1464000,3060820
631,874,GUANGZHOU PHAR   HKD  ,5190000,134744300
632,875,CYPRESS JADE     HKD   ,420000,119700
633,876,WING LEE HOLD    HKD   ,372000,235320
634,877,O-NET COMM GP    HKD   ,586000,1058410
635,878,SOUNDWILL HOLD   HKD  ,180000,3596540
636,880,SJM HOLDINGS     HKD  ,13883400,275706302
637,881,ZHONGSHENG HLDG  HKD   ,6094000,58955538
638,882,TIANJIN DEV      HKD   ,5174200,31735428
639,883,CNOOC            HKD  ,52017958,785925698
640,884,CIFI HOLD GP     HKD   ,8738000,12040380
641,885,FOREFRONT GROUP  HKD   ,8190000,1950180
642,886,SILVER BASE      HKD   ,4507325,10260702
643,887,EMPEROR WATCH&amp;J  HKD   ,6080000,4802700
644,888,ROADSHOW         HKD   ,2974000,3230640
645,889,DATRONIX HOLD    HKD   ,140000,165280
646,891,TRINITY          HKD   ,7248000,28688000
647,893,CHINAVTM MINING  HKD   ,2029000,3619590
648,894,MAN YUE TECH     HKD   ,102000,116860
649,895,DONGJIANG ENV    HKD  ,108600,4744340
650,897,WAI YUEN TONG    HKD   ,1330000,276210
651,898,MULTIFIELD INTL  HKD   ,2744000,809790
652,899,ASIA RESOURCES   HKD   ,2500000,74660
653,901,RADFORD CAPITAL  HKD   ,129440000,11021020
654,902,HUANENG POWER    HKD   ,20521177,168000753
655,903,TPV TECHNOLOGY   HKD   ,2568000,5924840
656,904,CHINA GREEN      HKD   ,1815000,2248170
657,905,MASTERMIND CAP   HKD   ,80000,5440
658,906,COFCO PACKAGING  HKD   ,2597297,15749447
659,908,ZHUHAI H INV     HKD   ,3364032,4130539
660,912,SUGA INT'L       HKD   ,92000,197980
661,913,UNITY INV HOLD   HKD   ,1985000,1588000
662,914,ANHUI CONCH      HKD  ,11028428,293322015
663,915,LINMARK GROUP    HKD   ,772000,300410
664,916,CHINA LONGYUAN   HKD   ,19023280,134924571
665,917,NEW WORLD CHINA  HKD   ,1541004,5154143
666,918,TAKSON HOLDINGS  HKD   ,62000,21720
667,919,MODERN BEAUTY    HKD   ,260000,239400
668,921,HISENSE KELON    HKD   ,4856000,19279840
669,922,CHINA BOON HLDG  HKD   ,1240000,121700
670,925,BJ PROPERTIES    HKD   ,1282000,670780
671,926,BESUNYEN         HKD   ,501000,153760
672,927,FUJIKON IND      HKD   ,4758000,17257620
673,928,TACK FIORI       HKD   ,1524000,1048360
674,929,IPE GROUP        HKD   ,7040000,4783450
675,931,ARTEL GROUP      HKD   ,11660000,2668960
676,933,BRIGHTOIL        HKD   ,1906000,2744350
677,934,SINOPEC KANTONS  HKD   ,1506000,10359900
678,935,DRAGON CROWN     HKD   ,462000,439580
679,938,MAN SANG INT'L   HKD   ,1766000,1139880
680,939,CCB              HKD   ,207020929,1322430412
681,940,C ANIMAL HEALTH  HKD   ,27000,49210
682,941,CHINA MOBILE     HKD  ,18278403,1506520173
683,945,MANULIFE-S       HKD ,37665,4319035
684,947,MOBI DEV         HKD   ,324000,307370
685,948,Z-OBEE           HKD   ,78000,70980
686,950,LEE'S PHARM      HKD   ,180000,980450
687,951,CHAOWEI POWER    HKD   ,3110000,11712672
688,953,MEIKE INT'L      HKD   ,26000,8390
689,956,CHINA SUNTIEN    HKD   ,8705000,18942000
690,958,HN RENEWABLES    HKD   ,17008000,36233628
691,959,AMAX HLDGS       HKD   ,13645500,616638
692,960,LONGFOR PPT      HKD  ,3391029,43390126
693,963,BLOOMAGE BIOTEC  HKD   ,517500,3413350
694,966,CHINA TAIPING    HKD  ,1268800,16881626
695,967,SOUND GLOBAL     HKD   ,205000,724820
696,969,HUA LIEN INT'L   HKD   ,1824000,1284300
697,970,SPARKLE ROLL     HKD   ,1800000,1322160
698,973,L'OCCITANE       HKD  ,1406650,33067790
699,975,MONGOL MINING    HKD   ,1911000,5574940
700,976,CHIHO-TIANDE     HKD   ,1416000,5120690
701,978,TONIC IND HOLD   HKD   ,1350000,3387500
702,980,LIANHUA          HKD   ,724600,4547777
703,981,SMIC             HKD   ,62862330,30146921
704,982,IONE HOLDINGS    HKD   ,8660000,446260
705,983,SOCAM DEV        HKD   ,13157,123050
706,984,AEON STORES      HKD  ,500,9700
707,985,CST MINING       HKD   ,12626720,1482183
708,986,CH ENV ENERGY    HKD   ,864320,2650976
709,987,CH RENEW EN INV  HKD   ,183726,36751
710,988,LOUDONG GN RES   HKD   ,3717072,1947618
711,989,CHINA MOTION     HKD   ,189000,33393
712,991,DATANG POWER     HKD   ,14346000,49379054
713,992,LENOVO GROUP     HKD   ,35757890,282679106
714,993,SIMSEN INT'L     HKD   ,9160600,909482
715,995,ANHUIEXPRESSWAY  HKD   ,1496000,5921000
716,996,CARNIVAL GROUP   HKD   ,2540000,1130300
717,997,CHINLINK INTL    HKD   ,4600000,2407200
718,998,CITIC BANK       HKD   ,23679753,115232021
719,999,I.T              HKD   ,935787,2982439
720,1001,VAN SHUNG CHONG  HKD   ,436000,460980
721,1003,21 HOLDINGS      HKD   ,1169000,659870
722,1005,MATRIX HOLDINGS  HKD   ,10000,16800
723,1006,CHANGSHOUHUA     HKD   ,589000,2615600
724,1008,BRILLIANT CIR    HKD   ,222000,1025160
725,1009,INT'L ENT        HKD   ,10000,11400
726,1011,NT PHARMA        HKD   ,1028000,772120
727,1019,CONVOY           HKD   ,6752000,16393660
728,1020,SINOREF HLDGS    HKD   ,1644000,681920
729,1021,MIDAS HLDGS-S    HKD   ,73000,241210
730,1023,SITOY GROUP      HKD   ,132000,478970
731,1025,WUMART           HKD  ,767000,10615460
732,1028,C.BANNER         HKD   ,667000,2267870
733,1029,IRC              HKD   ,944000,852260
734,1030,FUTURE LAND      HKD   ,1734000,2109140
735,1031,KINGSTON FIN     HKD   ,2264000,1279740
736,1032,CHUN WO W1309    HKD   ,166125,12991
737,1033,YIZHENG CHEM     HKD   ,15218000,31425896
738,1036,VANKE PPT OVS    HKD  ,271000,3625720
739,1038,CKI HOLDINGS     HKD  ,1213344,65240148
740,1039,CHANGFENG AXLE   HKD   ,10000,5600
741,1041,CH NEW ENGY PWR  HKD   ,992500,134740
742,1043,COSLIGHT TECH    HKD   ,1742200,3578186
743,1044,HENGAN INT'L     HKD  ,2438000,191100368
744,1045,APT SATELLITE    HKD   ,9292250,50081965
745,1048,NOVO GROUP       HKD   ,35000,42000
746,1050,KARRIE INT'L     HKD   ,598000,156870
747,1051,G-RESOURCES      HKD   ,12846350,5269861
748,1052,YUEXIUTRANSPORT  HKD   ,672188,2686737
749,1053,CHONGQING IRON   HKD   ,486000,609860
750,1055,CHINA SOUTH AIR  HKD   ,3997000,17052440
751,1057,ZHEJIANG SHIBAO  HKD   ,348000,935160
752,1059,KANTONE HOLDING  HKD   ,636262,50015
753,1060,CHINAVISION      HKD   ,2265000,790000
754,1062,CDB INT'L INV    HKD   ,360000,218100
755,1063,SUNCORP TECH     HKD   ,123333,24619
756,1064,ZHONG HUA INT'L  HKD   ,221500,108117
757,1065,TIANJIN CAPITAL  HKD   ,5114000,17171900
758,1066,WEIGAO GROUP     HKD   ,11286189,80678648
759,1068,YURUN FOOD       HKD   ,30683755,164108522
760,1069,JIANGCHEN INTL   HKD   ,3960000,5756720
761,1070,TCL MULTIMEDIA   HKD   ,1622832,9815106
762,1071,HUADIAN POWER    HKD   ,7130000,25224350
763,1072,DONGFANG ELEC    HKD  ,5849600,80054624
764,1073,CHINA AGROTECH   HKD   ,1872000,632100
765,1075,CAPINFO          HKD   ,5484000,1659930
766,1076,FIRST NATURAL    HKD   ,1365000,840650
767,1079,PINE TECH        HKD   ,246000,24900
768,1082,MODERN EDU       HKD   ,6014000,1377336
769,1083,TOWNGAS CHINA    HKD   ,6051000,43991355
770,1086,GOODBABY INTL    HKD   ,5770000,26377825
771,1087,HL TECHNOLOGY    HKD   ,149000,129630
772,1088,CHINA SHENHUA    HKD  ,18471694,531065148
773,1090,DA MING INT'L    HKD   ,30000,37500
774,1091,CITIC DAMENG     HKD   ,317563,240324
775,1093,CSPC PHARMA      HKD   ,3916000,13030900
776,1096,ACTIVE GROUP     HKD   ,3770000,3665260
777,1097,I-CABLE COMM     HKD   ,2537000,971665
778,1098,ROAD KING INFRA  HKD   ,608000,4452640
779,1099,SINOPHARM        HKD  ,4110808,110753790
780,1101,CH RONGSHENG     HKD   ,21833832,28576171
781,1102,ENVIRO ENERGY    HKD   ,1886000,318624
782,1103,SHANGHAI TONVA   HKD   ,5496000,3409120
783,1104,APAC RESOURCES   HKD   ,6540000,1022720
784,1105,SING TAO         HKD   ,848000,985160
785,1106,SINO HAIJING     HKD   ,65960000,16150450
786,1108,LUOYANG GLASS    HKD   ,132000,224820
787,1109,CHINA RES LAND   HKD  ,7690704,168574278
788,1110,KINGWORLD        HKD   ,340000,449360
789,1111,CHONG HING BANK  HKD  ,216900,3829136
790,1112,BIOSTIME         HKD  ,501167,20934644
791,1114,BRILLIANCE CHI   HKD  ,9090694,93507245
792,1115,TIBET 5100       HKD   ,1378000,3163225
793,1117,CH MODERN D      HKD   ,1756000,4306355
794,1118,GOLIK HOLDINGS   HKD   ,160000,120000
795,1121,BAOFENGMODERN    HKD   ,952000,1090420
796,1122,QINGLING MOTORS  HKD   ,1008000,2106520
797,1123,CHINA-HK PHOTO   HKD   ,402000,277660
798,1124,COASTAL GL       HKD   ,686000,332540
799,1125,LAI FUNG HOLD    HKD   ,7376000,1548120
800,1126,DREAM INT'L      HKD   ,23651000,26600950
801,1127,1010 PRINTING    HKD   ,45000,35910
802,1128,WYNN MACAU       HKD  ,20601800,422175200
803,1129,WATER INDUSTRY   HKD   ,1440800,2030896
804,1130,CHINAENVRES-NEW  HKD   ,130000,38290
805,1131,AGRITRADE RES    HKD   ,75000,23600
806,1132,ORANGE SKY G H   HKD   ,1950000,831400
807,1133,HARBIN ELECTRIC  HKD   ,1667710,10888409
808,1135,ASIA SATELLITE   HKD  ,555000,15532250
809,1136,TCC INT'L HOLD   HKD   ,6341000,13053820
810,1137,HKTV             HKD   ,7326000,18845430
811,1138,CHINA SHIP DEV   HKD   ,13220566,51971088
812,1140,OP FIN INV       HKD   ,20000,12400
813,1141,POLY CAPITAL     HKD   ,852400,93354
814,1143,TELEFIELD        HKD   ,250000,101220
815,1146,CH OUTFITTERS    HKD   ,298000,425120
816,1148,POWER XINCHEN    HKD   ,8968000,20735990
817,1149,ANXIN-CHINA      HKD   ,8004000,13983800
818,1150,MILAN STATION    HKD   ,444000,208510
819,1155,CENTRON TELECOM  HKD   ,349800,287256
820,1157,ZOOMLION         HKD   ,10100763,94820791
821,1161,WATER OASIS GP   HKD   ,5960000,3456300
822,1163,DEJIN RES        HKD   ,160450,62357
823,1164,CGN MINING       HKD   ,525000,386200
824,1165,SHUNFENG PV      HKD   ,6926000,6979200
825,1166,SOLARTECH INT'L  HKD   ,530130,250708
826,1168,SINOLINK HOLD    HKD   ,686000,446920
827,1169,HAIER ELEC       HKD  ,4207503,51574611
828,1170,KINGMAKER        HKD   ,46000,63800
829,1171,YANZHOU COAL     HKD  ,17298104,186167676
830,1172,MIDAS INT'L      HKD   ,20000,4040
831,1174,PACIFIC ANDES    HKD   ,2757328,1064164
832,1176,ZHUGUANG HOLD    HKD   ,214000,369440
833,1177,SINO BIOPHARM    HKD   ,18983999,103075590
834,1180,PARADISE ENT     HKD   ,17983000,1961394
835,1181,TANG PALACE      HKD   ,134000,208380
836,1182,C Y FOUNDATION   HKD   ,350000,36780
837,1183,ALLIEDPPT W1606  HKD   ,1240000,102340
838,1184,S.A.S. DRAGON    HKD   ,92000,165720
839,1185,CHINA ENERGINE   HKD   ,1360000,499470
840,1186,CHINA RAIL CONS  HKD   ,11820000,85225567
841,1188,HYBRID KINETIC   HKD   ,124000,13570
842,1190,BOLINA           HKD   ,3638000,9712220
843,1191,YUESHOU ENV      HKD   ,78006800,1035336
844,1193,CHINA RES GAS    HKD  ,3722000,80209375
845,1194,C PRECIOUSMETAL  HKD   ,3564800,4996470
846,1195,KINGWELL GROUP   HKD   ,3672000,3149640
847,1198,ROYALE FURN      HKD   ,1770125,1177918
848,1199,COSCO PACIFIC    HKD  ,5184540,58994390
849,1200,MIDLAND HOLDING  HKD   ,2375000,7961620
850,1201,KITH HOLDINGS    HKD   ,28000,24640
851,1203,GUANGNAN (HOLD)  HKD   ,100000,95110
852,1205,CITIC RESOURCES  HKD   ,2246700,2357455
853,1206,TECHNOVATOR      HKD   ,562000,1009880
854,1208,MMG              HKD   ,2004000,6088540
855,1210,CHRISTINE        HKD   ,774000,1054720
856,1211,BYD COMPANY      HKD  ,2566500,64452312
857,1212,LIFESTYLE INT'L  HKD  ,1292000,22282680
858,1215,KAI YUAN HLDGS   HKD   ,730000,141530
859,1217,CH INNOVATION    HKD   ,944000,23624
860,1220,ZHIDAO INT'L     HKD   ,390000,57720
861,1221,SINO HOTELS      HKD   ,2271,5936
862,1222,WANG ON GROUP    HKD   ,5440000,644860
863,1223,SYMPHONY HOLD    HKD   ,105000,31400
864,1224,C C LAND         HKD   ,4910596,11348786
865,1225,LERADO GROUP     HKD   ,144000,138600
866,1227,NATIONAL INV     HKD   ,140000,67850
867,1228,SUPERB SUMMIT    HKD   ,9460000,2888475
868,1230,YASHILI INT'L    HKD   ,8491000,22935020
869,1231,NEWTON RES       HKD   ,820000,640880
870,1232,GW TIANDI        HKD   ,1052000,1436340
871,1234,CHINA LILANG     HKD   ,781000,3810700
872,1235,TRAVEL EXPERT    HKD   ,180000,110300
873,1236,QIANLONG TECH    HKD   ,208000,173120
874,1237,MERRY GARDEN     HKD   ,2866000,4279120
875,1238,POWERLONG        HKD   ,2030000,3671730
876,1239,JIN BAO BAO H    HKD   ,144000,116520
877,1240,SUNLEY HLDGS     HKD   ,3877500,9003850
878,1251,SPT ENERGY       HKD   ,13538000,51190690
879,1252,CHINA TIANRUI    HKD   ,205000,447250
880,1259,PRINCE FROG      HKD   ,13876000,53419358
881,1260,WONDERFUL SKY    HKD   ,54000,49900
882,1262,LABIXIAOXIN      HKD   ,5216000,19743205
883,1265,TIANJINJINRAN    HKD   ,5100000,14202200
884,1266,XIWANG STEEL     HKD   ,774000,870360
885,1269,CHINA VEH COM    HKD   ,390000,617800
886,1277,KINETIC M&amp;E      HKD   ,102000,60680
887,1278,CHINANEWTOWN     HKD   ,11152119,6850307
888,1280,HUIYIN APP       HKD   ,1648000,465700
889,1281,KAI SHI CHINA    HKD   ,12000,23400
890,1282,WWTT             HKD   ,1236000,245344
891,1288,ABC              HKD   ,114734752,437151998
892,1293,BAOXIN AUTO      HKD   ,2778500,18871302
893,1296,GUODIAN TECH     HKD   ,3265000,8307035
894,1298,TECHCOMP         HKD   ,2000,3000
895,1299,AIA              HKD  ,22269630,756138377
896,1300,TRIGIANT         HKD   ,2391000,5083780
897,1303,HUILI RES        HKD   ,3106000,6663980
898,1308,SITC             HKD   ,552000,1656170
899,1312,ALLIED CEMENT    HKD   ,72000,57600
900,1313,CHINARES CEMENT  HKD   ,6045000,27013750
901,1314,TSUI WAH HLDG    HKD   ,1638000,6438260
902,1315,VISION FAME      HKD   ,3936000,6030420
903,1318,GREENS HOLDINGS  HKD   ,448000,181710
904,1319,OIWAHPAWN        HKD   ,2808000,3581480
905,1322,CW GROUP HOLD    HKD   ,2404000,4483120
906,1323,NEWTREE GROUP    HKD   ,5742000,11414780
907,1329,JUDA INTL        HKD   ,1622000,2506820
908,1332,QUALIPAK         HKD   ,158550,103598
909,1333,CHINA ZHONGWANG  HKD   ,1331600,3562398
910,1335,SHEEN TAI        HKD   ,2302000,4192920
911,1336,NCI              HKD  ,2505160,66327542
912,1338,BAWANG GROUP     HKD   ,14576000,6245920
913,1339,PICC GROUP       HKD   ,104959000,430419240
914,1348,QUALI-SMART      HKD   ,268000,246880
915,1350,HKRH W1801       HKD   ,2424000,193488
916,1361,361 DEGREES      HKD   ,1850000,4178610
917,1366,JIANGNAN GP      HKD   ,952000,1310980
918,1368,XTEP INT'L       HKD   ,497000,1497714
919,1378,CHINAHONGQIAO    HKD   ,4295000,16638995
920,1382,PACIFICTEXTILES  HKD   ,1131100,9356600
921,1383,SUNCENTURY GP    HKD   ,1601400,634068
922,1386,WALKER GROUP     HKD   ,44000,16000
923,1387,RENHE COMM       HKD   ,27310000,13077210
924,1388,EMBRY HOLDINGS   HKD   ,213000,884510
925,1393,HIDILI INDUSTRY  HKD   ,6746580,12315895
926,1398,ICBC             HKD   ,181502542,988755123
927,1399,SCUD GROUP       HKD   ,240000,86300
928,1428,BRIGHT SMART     HKD   ,198000,180760
929,1488,L&amp;M HANDBAGS     HKD   ,4058000,5061300
930,1555,MIE HOLDINGS     HKD   ,2274000,4691220
931,1600,TIAN LUN GAS     HKD   ,160500,906165
932,1613,SYNERTONE        HKD   ,72000,34080
933,1618,MCC              HKD   ,1448000,2192060
934,1623,HILONG           HKD   ,2258000,7411666
935,1628,YUZHOU PPT       HKD   ,3763200,7194599
936,1633,MAGIC HOLDINGS   HKD   ,826504,2628904
937,1638,KAISA GROUP      HKD   ,6903000,15151040
938,1666,TONG REN TANG    HKD  ,770000,20468000
939,1668,CHINASOUTHCITY   HKD   ,5592000,7258320
940,1682,FORD GLORY GP    HKD   ,64000,62640
941,1685,BOER POWER       HKD   ,1557000,7154740
942,1699,PUTIAN FOOD      HKD   ,208000,198680
943,1700,SPRINGLAND       HKD   ,2033000,8196832
944,1708,SAMPLE TECH      HKD   ,1000,9650
945,1728,ZHENGTONGAUTO    HKD   ,5689500,30193067
946,1733,WINSWAY          HKD   ,2976000,2880680
947,1766,CSR              HKD   ,14273000,78386204
948,1768,SATERI           HKD   ,893500,1456150
949,1777,FANTASIA         HKD   ,5380500,6378930
950,1788,GUOTAI JUNAN I   HKD   ,3109000,11057875
951,1798,DATANG RENEW     HKD   ,6791000,9981930
952,1800,CHINA COMM CONS  HKD   ,61951524,437355027
953,1803,ASR HOLDINGS     HKD   ,100000,211475
954,1812,CHENMING PAPER   HKD   ,243000,701865
955,1813,KWG PROPERTY     HKD   ,6400460,30369492
956,1818,ZHAOJIN MINING   HKD  ,5390500,56565670
957,1822,PERCEPTIONDIGIT  HKD   ,375000,48765
958,1828,DCH HOLDINGS     HKD   ,2204000,16067380
959,1829,CMEC             HKD   ,4180000,25698935
960,1830,PERFECT SHAPE    HKD   ,16000,8480
961,1831,SHIFANG HLDG     HKD   ,177000,70455
962,1833,INTIME           HKD   ,6746607,60183957
963,1836,STELLA HOLDINGS  HKD  ,323000,7625975
964,1838,CHINAPROPERTIES  HKD   ,256000,551990
965,1866,CHINA XLX FERT   HKD   ,9000,20880
966,1868,NEO-NEON         HKD   ,3502000,6189220
967,1878,SOUTHGOBI-S      HKD  ,77100,1198538
968,1880,BELLE INT'L      HKD  ,22846500,300002685
969,1881,REGAL REIT       HKD   ,3493000,8507850
970,1882,HAITIAN INT'L    HKD  ,7256000,82545136
971,1883,CITIC TELECOM    HKD   ,2596000,7424950
972,1886,HUIYUAN JUICE    HKD   ,4555500,17732017
973,1888,KB LAMINATES     HKD   ,3055586,10355323
974,1889,WUYI PHARMA      HKD   ,910000,319762
975,1893,SINOMA           HKD   ,5507000,11562830
976,1898,CHINA COAL       HKD   ,25267251,177281024
977,1899,XINGDA INT'L     HKD   ,6263139,15604979
978,1900,CHINA ITS        HKD   ,1989000,2653830
979,1910,SAMSONITE        HKD  ,9553074,186975813
980,1913,PRADA            HKD  ,1017728,80733592
981,1918,SUNAC            HKD   ,28306000,159288953
982,1919,CHINA COSCO      HKD   ,4092500,15728130
983,1928,SANDS CHINA LTD  HKD  ,15198375,614076071
984,1929,CHOW TAI FOOK    HKD  ,3969500,42025422
985,1938,CHU KONG PIPE    HKD   ,4676000,17919475
986,1966,CHINA SCE PPT    HKD   ,349000,666640
987,1968,PEAK SPORT       HKD   ,1420000,1833080
988,1972,SWIREPROPERTIES  HKD  ,3251545,88184610
989,1988,MINSHENG BANK    HKD  ,29909784,320187947
990,1991,TA YANG GROUP    HKD   ,56000,26330
991,1997,RMIH             HKD   ,516000,785920
992,1998,FLYKE INT'L      HKD   ,422000,204840
993,1999,MAN WAH HLDGS    HKD   ,2287400,16828958
994,2000,SIM TECH         HKD   ,4588000,1350410
995,2002,SUNSHINE PAPER   HKD   ,622500,558185
996,2005,LIJUN INT'L      HKD   ,1770000,4160330
997,2006,JINJIANG HOTELS  HKD   ,734000,1004420
998,2007,COUNTRY GARDEN   HKD   ,16907459,67667731
999,2008,PHOENIX TV       HKD   ,14806000,42222210
1000,2009,BBMG             HKD   ,6392000,40190675
1001,2010,REAL NUTRI       HKD   ,6320000,13230920
1002,2011,KEE              HKD   ,50000,25000
1003,2012,SUNSHINE OIL     HKD   ,4295500,9137605
1004,2018,AAC TECH         HKD  ,8645038,310057698
